driver_state,harmonic_order,mean_intensity,raw_peak_intensity,local_background_intensity,normalized_intensity,display_intensity,display_offset,window_half_width,background_inner_width,background_outer_width,display_min_normalized,mean_cutoff_order,normalized_intensity_cv,spectrum_model,frequency_grid,raw_frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,claim_level,mechanism,processing
coherent,99.0,4.4715594559470684e-13,1.0458516459194962e-12,5.986957003247894e-13,7.384247519644992e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,101.0,3.976019899940999e-13,9.264749693018014e-13,5.288729793077015e-13,6.565923001459916e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,103.0,3.537218081380062e-13,8.22219583852538e-13,4.684977757145318e-13,5.841294094644222e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,105.0,3.1565799011243543e-13,7.316059144875509e-13,4.159479243751155e-13,5.212715504529045e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,107.0,2.824078163424154e-13,6.524794876159512e-13,3.7007167127353576e-13,4.663628512378042e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,109.0,2.530992626551517e-13,5.830814635761792e-13,3.299822009210275e-13,4.179632678258642e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,111.0,2.273341729016729e-13,5.221734718089649e-13,2.9483929890729197e-13,3.7541529278943235e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,113.0,2.046006921396032e-13,4.685580998638731e-13,2.6395740772426995e-13,3.3787365869420682e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,115.0,1.8448951938134694e-13,4.212531472495669e-13,2.3676362786821996e-13,3.0466245373979302e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,117.0,1.6666506514077785e-13,3.794273835576965e-13,2.1276231841691866e-13,2.752274918855128e-15,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
